4 - [12, 4, 0.0016, 16, 96, 262144, 64, 0, 0, 0] reward:-0.0
5 - [2, 2, 0.0029000000000000002, 32, 128, 1048576, 64, 0, 0, 0] reward:-16279.205223844936
6 - [6, 6, 0.0006000000000000001, 48, 64, 2097152, 64, 0, 0, 0] reward:-0.0
7 - [3, 3, 0.0008, 112, 80, 4194304, 64, 0, 0, 0] reward:-0.0
8 - [6, 1, 0.0024000000000000002, 96, 96, 524288, 64, 0, 0, 0] reward:-0.0
9 - [2, 2, 0.0012000000000000001, 80, 112, 262144, 64, 0, 0, 0] reward:-17285.35061557139
10 - [1, 1, 0.0015, 32, 48, 4194304, 64, 0, 0, 0] reward:-154099.1662519722
11 - [6, 6, 0.0007, 112, 112, 1048576, 64, 0, 0, 0] reward:-0.0
12 - [4, 4, 0.0012000000000000001, 32, 128, 131072, 64, 0, 0, 0] reward:-0.0
13 - [16, 7, 0.0015, 48, 64, 4194304, 64, 0, 0, 0] reward:-0.0
14 - [15, 7, 0.0007, 64, 16, 262144, 64, 0, 0, 0] reward:-0.0
15 - [10, 3, 0.0025, 32, 32, 4194304, 64, 0, 0, 0] reward:-0.0
16 - [6, 4, 0.0026000000000000003, 32, 48, 262144, 64, 0, 0, 0] reward:-0.0
